seed,mode,n_vars,n_clauses,level,unit_count,chosen_unit_size,IG,forced,danger,affected,danger_rate,base_useful_IG,loss,reserve_size,reserve_total,reserve_score,overlap,recovered,useful_IG,D_pred,conflict
1000042,baseline,1000,4270,1,813,4,8,4,4,60,0.06666666666666667,7.466666666666667,0.5333333333333333,0,0,0.0,0.0,0.0,7.466666666666667,133.92857142857142,False
1000042,baseline,1000,4270,2,697,16,24,8,8,211,0.037914691943127965,23.09004739336493,0.9099526066350712,0,0,0.0,0.0,0.0,23.09004739336493,43.30870279146141,False
1000042,baseline,1000,4270,3,659,24,37,13,11,303,0.036303630363036306,35.65676567656766,1.3432343234323434,0,0,0.0,0.0,0.0,35.65676567656766,28.04516845612736,False
1000042,baseline,1000,4270,4,608,32,49,17,13,385,0.033766233766233764,47.345454545454544,1.6545454545454543,0,0,0.0,0.0,0.0,47.345454545454544,21.121351766513058,False
1000042,baseline,1000,4270,5,527,40,66,26,18,459,0.0392156862745098,63.411764705882355,2.588235294117647,0,0,0.0,0.0,0.0,63.411764705882355,15.769944341372913,False
1000042,reserve,1000,4270,1,813,4,8,4,4,63,0.06349206349206349,7.492063492063492,0.5079365079365079,8,0.5079365079365079,0.0,0.0,0.0,7.492063492063492,133.47457627118644,False
1000042,reserve,1000,4270,2,700,16,27,11,11,200,0.055,25.514999999999997,1.485,33,1.992936507936508,0.06349206349206349,0.0625,0.000992063492063492,25.51599206349206,39.191107973057676,False
1000042,reserve,1000,4270,3,653,24,40,16,15,284,0.0528169014084507,37.88732394366197,2.112676056338028,43,4.105612564274536,0.9202228327228328,0.625,0.07189240880647131,37.95921635246844,26.344063341944395,False
1000042,reserve,1000,4270,4,584,32,52,20,15,396,0.03787878787878788,50.03030303030303,1.9696969696969697,73,6.075309533971506,0.43326114808509175,0.1875,0.005077279079122169,50.035380309382155,19.985857883296422,False
1000042,reserve,1000,4270,5,488,40,65,25,22,459,0.04793028322440087,61.88453159041394,3.1154684095860565,91,9.190777943557563,2.380338528789233,0.575,0.04277170793918152,61.927303298353124,16.147966191619936,False
1000043,baseline,1000,4270,1,842,7,10,3,3,90,0.03333333333333333,9.666666666666666,0.3333333333333333,0,0,0.0,0.0,0.0,9.666666666666666,103.44827586206897,False
1000043,baseline,1000,4270,2,753,16,23,7,6,220,0.02727272727272727,22.372727272727275,0.6272727272727272,0,0,0.0,0.0,0.0,22.372727272727275,44.69727752945956,False
1000043,baseline,1000,4270,3,719,24,41,17,13,307,0.04234527687296417,39.26384364820847,1.7361563517915308,0,0,0.0,0.0,0.0,39.26384364820847,25.46872407499585,False
1000043,baseline,1000,4270,4,672,32,59,27,18,392,0.04591836734693878,56.29081632653061,2.7091836734693877,0,0,0.0,0.0,0.0,56.29081632653061,17.764887156711684,False
1000043,baseline,1000,4270,5,604,40,59,19,15,523,0.028680688336520075,57.30783938814532,1.6921606118546844,0,0,0.0,0.0,0.0,57.30783938814532,17.449619645002002,False
1000043,reserve,1000,4270,1,842,7,10,3,3,90,0.03333333333333333,9.666666666666666,0.3333333333333333,6,0.3333333333333333,0.0,0.0,0.0,9.666666666666666,103.44827586206897,False
1000043,reserve,1000,4270,2,755,16,23,7,6,220,0.02727272727272727,22.372727272727275,0.6272727272727272,14,0.9606060606060605,0.16666666666666666,0.1875,0.0078125,22.380539772727275,44.681674801185586,False
1000043,reserve,1000,4270,3,715,24,41,17,13,307,0.04234527687296417,39.26384364820847,1.7361563517915308,42,2.6967624123975913,0.0,0.0,0.0,39.26384364820847,25.46872407499585,False
1000043,reserve,1000,4270,4,669,32,55,23,16,399,0.040100250626566414,52.794486215538846,2.2055137844611528,50,4.902276196858744,1.0625520217174715,0.5625,0.03735534451350486,52.831841560052354,18.927979235085537,False
1000043,reserve,1000,4270,5,602,40,66,26,18,471,0.03821656050955414,63.47770700636943,2.522292993630573,55,7.424569190489318,2.2598309332820974,0.55,0.03884084416578605,63.51654785053521,15.743928690097626,False
1000044,baseline,1000,4270,1,842,8,9,1,1,104,0.009615384615384616,8.913461538461538,0.08653846153846154,0,0,0.0,0.0,0.0,8.913461538461538,112.1898597626753,False
1000044,baseline,1000,4270,2,753,16,23,7,6,221,0.027149321266968326,22.375565610859727,0.6244343891402715,0,0,0.0,0.0,0.0,22.375565610859727,44.69160768452983,False
1000044,baseline,1000,4270,3,714,24,38,14,9,296,0.030405405405405407,36.8445945945946,1.1554054054054055,0,0,0.0,0.0,0.0,36.8445945945946,27.141023289932146,False
1000044,baseline,1000,4270,4,673,32,47,15,10,386,0.025906735751295335,45.78238341968912,1.2176165803108807,0,0,0.0,0.0,0.0,45.78238341968912,21.842462652784064,False
1000044,baseline,1000,4270,5,605,40,58,18,15,502,0.029880478087649404,56.266932270916335,1.7330677290836654,0,0,0.0,0.0,0.0,56.266932270916335,17.772427954400623,False
1000044,reserve,1000,4270,1,842,8,9,1,1,104,0.009615384615384616,8.913461538461538,0.08653846153846154,3,0.08653846153846154,0.0,0.0,0.0,8.913461538461538,112.1898597626753,False
1000044,reserve,1000,4270,2,753,16,23,7,6,221,0.027149321266968326,22.375565610859727,0.6244343891402715,18,0.710972850678733,0.0,0.0,0.0,22.375565610859727,44.69160768452983,False
1000044,reserve,1000,4270,3,714,24,39,15,9,298,0.030201342281879196,37.82214765100671,1.1778523489932886,39,1.8888251996720216,0.0416289592760181,0.041666666666666664,0.00021681749622926092,37.82236446850294,26.439383524865633,False
1000044,reserve,1000,4270,4,672,32,47,15,12,428,0.028037383177570093,45.6822429906542,1.3177570093457944,67,3.206582209017816,0.0,0.0,0.0,45.6822429906542,21.890343698854338,False
1000044,reserve,1000,4270,5,604,40,57,17,14,524,0.026717557251908396,55.47709923664122,1.5229007633587786,74,4.729482972376594,0.8561549627691508,0.45,0.012039679163941183,55.489138915805164,18.02154474801494,False
